"Key","SourceString","Comment"
"skills_commissiontime_increase","Tienes un {Chance} de probabilidad de conseguir un día extra para cada encargo.","Text inside the patient client skill window in management mode skill tree, showing the player the exact advantage that will be unlocked by learning this skill."
"skills_learning_title","Aprendizaje","Title of the learning skill window in management mode skill tree."
"skills_learning_text","Para ampliar tu repertorio, ahora puedes aprender esquemas al desarmar tres piezas del mismo tipo.","Text inside the learning skill window in management mode skill tree, describing the skill, the player learns by unlocking the skill."
"skills_learning_unlock","Aprende a fabricar cualquier pieza tú mismo a partir de tres muestras idénticas.","Text inside the learning skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_sanding_title","Habilidad: Pulido","Title of the sanding skill window in management mode skill tree, referring to sanding a steel on a grindstone to polish it."
"skills_sanding_text","No es oro todo lo que reluce, pero una hoja pulida como un espejo es imposible de ignorar.","Text inside the sanding skill window in management mode skill tree, flavoring the polished blade."
"skills_sanding_unlock","Desbloquea la habilidad: Pulido","Text inside the sanding skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_fuller_title","Habilidad: Canaladura","Title of the fuller skill window in management mode skill tree."
"skills_fuller_text","Las acanaladuras hacen que la hoja sea más ligera al retirar metal sin comprometer su firmeza.","Text inside the fuller skill window in management mode skill tree, explaining the fuller ability."
"skills_fuller_unlock_rounded","Desbloquea la habilidad: Acanaladura con terminación redonda","Text inside the fuller skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_fuller_unlock_smooth","Desbloquea la habilidad: Acanaladura con terminación suave","Text inside the fuller skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_sidefuller_unlock_rounded","Desbloquea la habilidad: Acanaladuras laterales con extremos redondeados","Text inside the fuller skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_sidefuller_unlock_smooth","Desbloquea la técnica: Acanaladuras laterales con extremos suaves","Text inside the fuller skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_asymmetrical_title","Hojas Asimétricas","Skill title: Unlocking the ability to create asymmetrical (e.g. single-edged) blades."
"skills_asymmetrical_text","Trabaja la hoja desde diferentes ángulos para crear filos únicos y otros perfiles interesantes.","Text inside the asymmetrical blades skill window in management mode skill tree, explaining the asymmetrical blades ability."
"skills_asymmetrical_unlock","Permite forjar hojas asimétricas.","Text inside the asymmetrical blades skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_curved_title","Habilidad: Hojas Curvas","Title of the curved blades skill window in management mode skill tree."
"skills_curved_text","Curva tu hoja para concentrar la fuerza del tajo en un área más reducida que con una espada recta.","Text inside the curved blades skill window in management mode skill tree, explaining the curved blades ability."
"skills_curved_unlock","Desbloquea la habilidad: Curvatura","Text inside the curved blades skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_bending_title","Curvatura de piezas","Title of the bending skill window in management mode skill tree."
"skills_bending_text","Curva las piezas de tus espadas a voluntad para crear diseños totalmente personalizados.","Text inside the bending skill window in management mode skill tree, explaining the bending ability."
"skills_bending_unlock","Te permite curvar las piezas de la espada.","Text inside the bending skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_message_skillpointsavailable","{0} {0}|plural(one=Punto,other=Puntos) de habilidad disponibles","Shows available skill points."
"skills_message_requireslevel","Requiere Nivel {0}.","Displayed on a skill that can only be unlocked from a certain level (inserted for {0})."
"skills_message_requirescrew","Necesitas ayuda para desbloquear esta habilidad.","Displayed on a skill that can only be unlocked once a crew character (not specified) is hired."
"skills_button_unlockwithcost","Desbloquear: {0} {0}|plural(one=Punto de Habilidad,other=Puntos de Habilidad)","Shows skill point costs when unlocking skills."
"currency_cost","Coste:","When a cost in currency is displayed, it is prefixed with this."
"currency_have","Tienes:","When the currently owned currency amount is displayed, it is prefixed with this."
"forging_crosssectiondetails_physical_title","PROPIEDADES FÍSICAS DE LA ESPADA","Title inside the cross-section details panel."
"forging_crosssectiondetails_bladelength","Longitud de la hoja","Description inside the cross-section details panel."
"forging_crosssectiondetails_mass","Masa","Description inside the cross-section details panel."
"forging_crosssectiondetails_balance","Punto de Equilibrio","Description inside the cross-section details panel."
"forging_crosssectiondetails_properties_title","PROPIEDADES DE LA SECCIÓN TRANSVERSAL","Title inside the cross-section details panel."
"forging_crosssectiondetails_width","Anchura","Description inside the cross-section details panel."
"forging_crosssectiondetails_thickness","Grosor","Description inside the cross-section details panel."
"forging_crosssectiondetails_area","Área","Description inside the cross-section details panel."
"forging_crosssectiondetails_edgeangle_left","Ángulo del filo (izq.)","Description inside the cross-section details panel."
"forging_crosssectiondetails_edgeangle_right","Ángulo del filo (der.)","Description inside the cross-section details panel."
"forging_namesword_text","Clic para nombrar tu espada","Hint inside a text field in forge mode, players can enter text to name the sword."
"charactername_format","{0} {1}","The game generates random character names from first name (inserted for {0}) and last name (inserted for {1}). For some languages this might have to be reversed."
"swordname_none","Espada sin nombre","The default name given to a new sword when it is not made for a specific customer."
"sword_finalized","{0}
se ha forjado.","Message displayed when a player finalizes a sword. The sword name (given by the player) is inserted for {0}."
"commissiontitle_short_light","Espada corta ligera","The title of a commission in case a customer asks for a short/lightweight sword."
"commissiontitle_short_average","Espada corta común","The title of a commission in case a customer asks for a short/average weightsword."
"commissiontitle_short_heavy","Espada corta pesada","The title of a commission in case a customer asks for a short/heavy sword."
"commissiontitle_medium_light","Espada ligera","The title of a commission in case a customer asks for an average length/lightweight sword."
"commissiontitle_medium_average","Espada común","The title of a commission in case a customer asks for an average length/average weight sword."
"commissiontitle_medium_heavy","Espada pesada","The title of a commission in case a customer asks for an average length/heavy sword."
"commissiontitle_long_light","Espada larga ligera","The title of a commission in case a customer asks for a long/lightweight sword."
"commissiontitle_long_average","Espada larga común","The title of a commission in case a customer asks for a long/average weightsword."
"commissiontitle_long_heavy","Espada larga pesada","The title of a commission in case a customer asks for a long/heavy sword."
"forging_button_leave","Salir","Button caption, leaving the anvil/forge mode to go back to shop overview."
"forging_button_finalize","Finalizar","Button in forgemode to finalize the current sword."
"forging_actionpointsspent","Gastado: {0}","Denoting the number of Action Points that have so far been spent on a given sword. The number and AP icon will be inserted for {0}."
"forging_title_appliedabilities","Historial de Habilidades","Title of the applied section in forgemode, showing the swordmaking abilities the player has used so far on the given piece."
"forging_cameracontrols_title","Vista aérea:","Title of the camera controls section in forgemode."
"forging_cameracontrols_setstart_text","Definir inicio","Text describing a player action: setting the starting point of a camera flight."
"forging_cameracontrols_setstart_key","Ctrl+1","Keybinding for a player action"
"forging_cameracontrols_setend_text","Definir final","Text describing a player action: setting the endpoint of a camera flight."
"forging_cameracontrols_setend_key","Ctrl+2","Keybinding for a player action"
"forging_cameracontrols_flight_text","Iniciar vista aérea","Text describing a player action: starting the camera flight."
"forging_cameracontrols_flight_key","Space","Keybinding for a player action"
"forging_cameracontrols_setspeed_text","Definir velocidad","Text describing a player action: setting the speed of the camera flight."
"forging_cameracontrols_setspeed_key","1...9","Keybinding for a player action"
"forging_button_blademode","Modo Hoja","Button caption for the mode in which the blade is edited"
"forging_button_hiltmode","Modo Empuñadura","Button caption for the mode in which the hilt (guard, grip, pommel etc.) is edited"
"forging_button_viewmode","Modo Vista","Button caption for the mode in which the sword can be viewed without distractions."
"forging_button_environment","Cambiar fondo","Tooltip of the toggle environment button, where players can choose between different environments/backgrounds to work in."
"forging_button_screenshotmode","Modo foto","Tooltip of the button used to enter a seperate mode in which screenshots of swords can be taken."
"forging_button_takescreenshot","Capturar imagen","Tooltip of the take screenshot button."
"forging_button_screenshotfolder","Abrir carpeta","Tooltip of the screenshot folder button, where players can access the local screenshot folder."
"forging_button_crosssectiondetails","Visualización de la sección transversal","Tooltip of the cross-section display button, where players can open the cross-section details panel."
"forging_button_upload","Compartir...","Tooltip of the share button, where players can upload their sword and share it."
"forging_sharing_magicwords","Palabras Mágicas","When sharing a sword, it is uploaded to a server and some ""magic words"" (i.e. a vaguely latin string, for example vinamion-temilium-noroucio) is copied to the clipboard."
"forging_sharing_magicwords_description","Obtén un código de Palabras Mágicas y compártelo con otros jugadores para que puedan conjurar copias idénticas de tu espada.","When sharing a sword, it is uploaded to a server and some ""magic words"" (i.e. a vaguely latin string, for example vinamion-temilium-noroucio) is copied to the clipboard."
"forging_sharing_magicwords_button","Obtener código de Palabras Mágicas","When sharing a sword, it is uploaded to a server and some ""magic words"" (i.e. a vaguely latin string, for example vinamion-temilium-noroucio) is copied to the clipboard."
"forging_sharing_3dprinting_description","Lleva tu acero al mundo real: exporta el modelo para impresión 3D. El archivo STL generado es compatible con cualquier software de laminación.",""
"forging_sharing_3dprinting_button","Exportar a STL",""
"forging_sharing_successful","Las Palabras Mágicas
{0}
ahora residen en tu portapapeles.","When sharing a sword, it is uploaded to a server and some ""magic words"" (i.e. a vaguely latin string, for example vinamion-temilium-noroucio) is copied to the clipboard."
"forging_sharing_error","Error al subir.","This message is displayed when sharing a sword failed because the sword could not be uploaded to the server."
"forging_sharing_3dprint","Impresión 3D",""
"forging_gameplayhint_material_apply","Clic izquierdo para aplicar material","Hint displayed to players when they are in the process of applying a material (e.g. leather, steel etc.) to a sword part."
"forging_gameplayhint_material_discard","Clic izquierdo para descartar material","Hint displayed to players when they are in the process of applying a material (e.g. leather, steel etc.) but are not hovering any sword part. Clicking will exit the material assignment mode and 'discard' the material."
"forging_gameplayhint_swordpart_craft_general","Mantén el clic izquierdo sobre las piezas resaltadas para fabricar.","Hint displayed to players when they have parts to craft (which are displayed with a blue outline), but are not currently hovering a specific part."
"forging_gameplayhint_swordpart_craft_specific","Mantén el clic izquierdo para fabricar","Hint displayed to players when they are hovering a specific craftable part. Holding down the mouse button will craft the part."
"forging_gameplayhint_gizmo_range_move","Ajustar rango","Hint displayed when hovering a draggable ""range"" handle. This range denotes where a bladeshaping ability has influence."
"forging_gameplayhint_gizmo_blend_move","Ajustar rango de mezcla","Hint displayed when hovering a draggable ""blend"" handle. This blend range denotes where a bladeshaping ability smoothly fades in or out."
"forging_gameplayhint_gizmo_blend_activate","Mostrar guía de mezcla","Hint displayed to players when they are hovering an on-screen element that can be right-clicked to activate smooth blending of swordmaking abilities (e.g. to softly broaden a blade)."
"forging_gameplayhint_gizmo_blend_change","Cambiar curva de mezcla","Hint displayed to players when they are hovering an on-screen element that can be right-clicked to change the shape of the curve used for smooth blending of swordmaking abilities (e.g. to softly broaden a blade)."
"forging_ability_button_commit","Aplicar","Button text to apply active swordmaking ability in forgemode."
"forging_ability_button_delete","Eliminar","Button text to delete active swordmaking ability in forgemode."
"forging_ability_button_remove","Quitar","Button text to remove the active swordmaking ability in forgemode."
"forging_ability_button_revert","Cancelar","Button text to revert active swordmaking ability in forgemode."
"forging_crafting_button_craftall","Fabricar todo","Button text to craft all applied craftable swordparts in forgemode."
"forging_hint_cannotoffer_nocommission","Sin encargo","Hint text displayed when the player tries to sell a sword, but has not commission (i.e. no customer) to sell it to."
"forging_hint_cannotoffer_physicalnotmet","No se cumplen los requisitos físicos.","Hint text displayed when the player tries to sell a sword, but the customer's physical requirements are not met."
"forging_hint_cannotoffer_stylenotmet","No se cumplen los requisitos de estilo.","Hint text displayed when the player tries to sell a sword, but the customer's style requirements are not met."
"forging_hint_cannotoffer_uncraftedparts","Primero debes fabricar todas las piezas de la espada.","Hint text displayed when the player tries to sell a sword, but still has pending sword parts that need to be crafted first."
"forging_hint_cannotoffer_unfinishedhilt","La empuñadura no está terminada.","Hint text displayed when the player tries to sell a sword, but the sword's hilt is not finished (i.e. has no pommel or is otherwise not complete)."
"forging_button_offer_caption","Ofrecer","Caption of the button to offer a sword to a customer."
"forging_button_offer_tocustomer","Ofrecer a {0}","Caption of the button to offer a sword to a customer. The customer's full name will be inserted for {0}."
